"Cytoscape","Cy.Degree","Coding","Co.Degree"
"P62988",241,"P62988",238
"P04637",86,"P04637",85
"P10275",47,"P10275",43
"P35222",41,"P35222",41
"P06400",34,"Q00653",37
"P38398",33,"P06400",34
"P01375",32,"P01375",32
"P62158",31,"P38398",31
"P04049",31,"P19387",30
"P19387",30,"P63208",30
