"Cytoscape","Cy.Degree","Coding","Co.Degree"
"Q13573",595,"Q13573",595
"Q99459",566,"Q99459",566
"O95758",296,"O95758",296
"P04637",264,"P04637",264
"Q9UL18",242,"Q9UL18",242
"Q14197",234,"Q14197",234
"Q9UKV8",203,"Q9UKV8",203
"O35182",191,"O35182",191
"P0CG48",179,"P0CG48",179
"Q8AZK7",172,"Q8AZK7",172
