P04637
Q09472
P15884
Q02535
Q15628
Q12772
P11277
P02549
Q13029
P06127
P20827
P20333
P14598
P19878
Q14451
P15924
P13647
Q03405
P56199
P04141
P20248
P24588
P17252
Q12802
P29597
P10912
P08700
P00813
P08887
P19174
P08514
P00488
Q06609
P48551
P38936
P01023
P02649
P16070
P18827
P06396
Q9Y618
P02787
P24394
P43489
O43557
P16871
P35225
Q13651
Q01344
P08887
P22455
P01138
P04629
P35916
O60462
P12643
P43026
Q9UM73
P38398
Q99728
Q12888
P23497
Q14739
Q15596
Q14005
Q08334
Q04756
Q04912
P00734
P48357
P51946
Q02763
P48552
P27695
P38117
P28068
O14763
O43516
Q9Y2J2
P02774
O75146
O14757
O60566
P51587
Q9UK53
O14867
P31350
O00255
Q92547
P54278
P40692
Q13576
P55211
P46013
O00330
Q5T4W7
P35236
Q9HC62
P52294
Q8WUM4
Q15276
P55265
P51800
Q0JRZ9
P10515
P01133
Q02297
Q99683
P14780
P02751
Q6B0I6
Q9Y6D9
P04275
Q5S007
Q8NBP7
Q53EL6
P46934
P05161
Q92585
Q9H3S7
P04156
Q16236
P55210
Q9Y678
Q9NS91
P43220
P35555
Q9H211
P55884
Q13043
P29590
Q9NRR4
Q14790
Q9HCN6
O43189
P20585
Q15080
O15085
P06756
Q7Z434
Q8WZ42
P04626
Q5VST9
Q8IYW5
Q03518
Q9ULW0
P16109
O43278
P49917
Q96GD4
Q06190
Q9NQS7
Q9BY43
Q9C000
Q9Y6N9
Q15223
O75569
P11473
Q9UIF7
Q01831
Q14449
O75899
P30622
Q9NS23
Q8IW19
Q13351
Q53EZ4
O15117
Q12959
Q9BYX4
Q92843
P05362
P20701
O00206
Q7Z5K2
P42336
Q15370
Q9H900
Q8N6P7
O43819
P20823
P53004
P27448
Q14653
O76074
Q15814
Q8IWE5
Q9Y6N7
Q14126
Q9UNZ2
P36404
Q8NG31
P15153
O75051
O43663
Q8IX07
P54253
Q14191
Q9Y5B0
P35658
Q8NEM0
P07814
Q9UMN6
Q8NEZ4
Q9NTG7
P49790
Q96NY9
Q96AY2
Q4FZB7
Q14114
Q9P2D1
Q9H171
P13497
P00751
O43572
Q14432
Q7Z6A9
P09913
Q86WV6
Q14160
Q14839
Q9H9E3
Q58WW2
Q14566
Q96CV9
O95967
Q16602
Q8NCD3
P49257
O00170
P43146
O60260
O60494
Q6UVW9
D3W0D1
P26718
P18887
P06731
P58335
P42081
Q9NSD9
P02452
P35579
Q8WWI1
Q9GZU2
Q5VVJ2
Q03001
P02671
Q13137
Q9UJY4
Q8TDM6
O94875
P12259
O15020
Q8IWV8
Q9H816
Q7Z406
Q14980
P08603
Q8ND30
O15492
Q16666
Q9NRG4
Q14766
Q99700
P07550
Q99467
O14522
Q9UJX3
P09603
P09936
Q9UBD6
P05107
Q96RS0
O75147
P56945
Q8N5H7
Q9UHR4
P35070
O00763
Q14185
Q9NQT8
Q9NWX6
Q9UG22
Q12929
P50281
P02461
P05155
P52179
P21549
P13612
P36888
Q4KMG0
O60242
O00411
P20711
Q9UPN9
Q8N6T7
P08833
Q8N423
Q9H668
Q13618
Q96CA5
Q96CB9
Q96NW4
O14617
Q16820
A8MYU2
O95644
Q676U5
P08151
P21709
Q5H9F3
P78364
P12757
P52735
Q13330
Q14999
Q9Y237
Q7Z2W4
P32455
P13498
Q15652
Q9UI42
P42858
Q96JM2
Q86UT6
Q96T58
Q6XZF7
Q5T1C6
Q9UQ84
Q12923
Q8IUF8
Q8WXH0
P18509
Q96QB1
P56817
P25440
P09467
Q13255
P24158
Q96HC4
Q8IVD9
O15553
P01583
Q9P126
Q05823
P14923
Q5VT06
P11226
P57789
P13796
Q5T4F4
Q92673
P11686
P19367
O14777
Q9BZD4
P16410
P50851
Q02224
Q13740
Q15116
Q9UPS6
A0FGR8
Q96RU3
O15118
Q01518
P47712
P11586
P12955
Q8IU57
